epsilon2	better_prob	prob_branch	mean_resolved	mean_closed_nn	mean_closed_nnHybrid	mean_closed_1Tree	mean_closed_subgradient	mean_total_time	mean_time_bb	mean_time_to_best	mean_bbnodes_before_best	mean_fixed_edges	mean_total_tree_level	mean_generate_bbnodes	mean_explored_bbnodes	mean_best_level	mean_prob_best	mean_best_value	mean_mandatory_edges	mean_forbidden_edges
0.3	0.3	0.9	100.0	0.0	89.0	0.0	11.0	0.1594732880592346	0.14716007	0.06726254	13.11	1973.75	3.0	34.54	25.61	0.71	0.99012706	5.679856910000002	1.21	100.1
0.3	0.4	0.5	100.0	0.0	89.0	0.0	11.0	0.15623266458511353	0.14423732	0.06464597	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.3	0.4	0.6	100.0	0.0	89.0	0.0	11.0	0.19879590034484862	0.17512064000000005	0.08235354999999998	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.3	0.4	0.7	100.0	0.0	89.0	0.0	11.0	0.14709957122802733	0.13559175999999998	0.0629931	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.3	0.4	0.8	100.0	0.0	89.0	0.0	11.0	0.14902921676635741	0.13771799999999998	0.06173864999999999	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.3	0.4	0.9	100.0	0.0	89.0	0.0	11.0	0.16693738222122192	0.15411640000000001	0.06782349000000001	13.11	1973.75	3.0	34.54	25.61	0.71	0.99012706	5.679856910000002	1.21	100.1
0.3	0.5	0.5	100.0	0.0	89.0	0.0	11.0	0.15504843711853028	0.14236378999999996	0.06434118999999999	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.3	0.5	0.6	100.0	0.0	89.0	0.0	11.0	0.16283841609954833	0.15062218999999996	0.06962507000000001	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.3	0.5	0.7	100.0	0.0	89.0	0.0	11.0	0.1485620379447937	0.13657766999999996	0.06204859	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.3	0.5	0.8	100.0	0.0	89.0	0.0	11.0	0.14745962619781494	0.13596156000000004	0.06211843	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.3	0.5	0.9	100.0	0.0	89.0	0.0	11.0	0.15156205654144286	0.13999115999999995	0.06587573000000001	13.11	1973.75	3.0	34.54	25.61	0.71	0.99012706	5.679856910000002	1.21	100.1
0.4	0.1	0.5	100.0	0.0	89.0	0.0	11.0	0.17991206407546997	0.16220533999999995	0.08939822999999998	13.4	1982.87	3.0	35.04	25.78	0.71	0.99012706	5.679856910000002	1.21	100.1
0.4	0.1	0.6	100.0	0.0	89.0	0.0	11.0	0.14641619682312013	0.13473292	0.06336610000000001	13.4	1982.87	3.0	35.04	25.78	0.71	0.99012706	5.679856910000002	1.21	100.1
0.4	0.1	0.7	100.0	0.0	89.0	0.0	11.0	0.14751468420028688	0.13612015000000002	0.06380015	13.4	1982.87	3.0	35.04	25.78	0.71	0.99012706	5.679856910000002	1.21	100.1
0.4	0.1	0.8	100.0	0.0	89.0	0.0	11.0	0.15553366184234618	0.14303301999999998	0.0665336	13.4	1982.87	3.0	35.04	25.78	0.71	0.99012706	5.679856910000002	1.21	100.1
0.4	0.1	0.9	100.0	0.0	89.0	0.0	11.0	0.14942102432250975	0.13793722999999994	0.06523402	13.39	1990.61	3.0	35.0	25.74	0.71	0.99012706	5.679856910000002	1.21	100.1
0.4	0.2	0.5	100.0	0.0	89.0	0.0	11.0	0.14569282054901123	0.13380031999999997	0.06181988000000001	13.2	1975.25	3.0	34.62	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.4	0.2	0.6	100.0	0.0	89.0	0.0	11.0	0.15234266281127928	0.14016313	0.06589637	13.2	1975.25	3.0	34.62	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.4	0.2	0.7	100.0	0.0	89.0	0.0	11.0	0.1424982500076294	0.13091858999999995	0.059663249999999994	13.2	1975.25	3.0	34.62	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.4	0.2	0.8	100.0	0.0	89.0	0.0	11.0	0.15361090183258055	0.14124473000000004	0.06425580000000002	13.2	1975.25	3.0	34.62	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.4	0.2	0.9	100.0	0.0	89.0	0.0	11.0	0.15188389301300048	0.13985085999999997	0.06309293	13.19	1974.94	3.0	34.58	25.61	0.71	0.99012706	5.679856910000002	1.21	100.1
0.4	0.3	0.5	100.0	0.0	89.0	0.0	11.0	0.14969785928726195	0.13817731999999996	0.06359895	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.4	0.3	0.6	100.0	0.0	89.0	0.0	11.0	0.15868419885635376	0.14583732999999993	0.06678266	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.4	0.3	0.7	100.0	0.0	89.0	0.0	11.0	0.17544838666915893	0.15977897	0.06323224	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
